 
                                                                                                                                                                                                                                                                
 
ticker      evtdate       car
 PLAB     14JAN2004    -0.00215
 PLAB     17FEB2011    -0.04742
 PLAB     18MAR2002     0.00931
 PLAB     17MAY2006     0.03085
 PLAB     19FEB2003     0.06160
 PLAB     19JUL2002    -0.02761
 PLAB     21JUN2002     0.03485
 PLAB     22JUL2008    -0.25963
 PLAB     23SEP2008    -0.03426
 PLAB     26FEB2004    -0.02824
 PLAB     27JUN2001    -0.02730
 PLAB     28SEP2011    -0.07221
 PLAB     30DEC2008     0.32821
 MESA     02NOV2001     0.02840
 MESA     03MAY2002     0.09247
 MESA     09SEP2002    -0.04542
 MESA     29JAN2001     0.06694
 SHRP     14MAY2003    -0.01194
 SHRP     20AUG2004     0.01610
 SHRP     20MAY2005    -0.02219
 KO       01AUG2003     0.01770
 KO       02JUN2008    -0.00684
 KO       01NOV2007    -0.01095
 KO       02AUG2010    -0.00547
 KO       03DEC2002    -0.00345
 KO       03MAR2010     0.01895
 KO       03OCT2011    -0.02685
 KO       04NOV2002     0.00430
 KO       04OCT2006    -0.00451
 KO       04SEP2012     0.00040
 KO       06AUG2007     0.00162
 KO       06FEB2014    -0.01212
 KO       06OCT2010    -0.00055
 KO       06SEP2005     0.00791
 KO       07JAN2002    -0.03509
 KO       07MAY2012     0.00245
 KO       07OCT2009    -0.00391
 KO       08JAN2010    -0.00142
 KO       08MAY2008    -0.01919
 KO       08OCT2010    -0.00421
 KO       10OCT2011    -0.00984
 KO       08SEP2004    -0.04550
 KO       09JUN2006     0.00638
 KO       09OCT2007    -0.00511
 KO       09SEP2004    -0.01969
 KO       10JAN2003     0.03978
 KO       10MAR2009     0.00271
 KO       10MAY2002     0.00169
 KO       10SEP2007     0.00359
 KO       11JAN2006    -0.00306
 KO       13AUG2012    -0.00687
 KO       13JAN2003     0.01715
 KO       13NOV2006    -0.00526
 KO       13NOV2007     0.00543
 KO       15SEP2003    -0.03762
 KO       14FEB2006     0.00480
 KO       15MAR2004    -0.00996
 KO       15MAR2005     0.00947
 KO       15NOV2010     0.00140
 KO       15OCT2003     0.00465
 KO       16DEC2003     0.00058
 KO       16FEB2007     0.00052
 KO       16OCT2002    -0.12760
 KO       19OCT2001     0.05147
 KO       19OCT2010     0.02466
 KO       20FEB2004    -0.02060
 KO       20OCT2010    -0.00048
 KO       21DEC2011     0.00378
 KO       21FEB2001    -0.10950
 KO       22MAR2006    -0.00630
 KO       23JAN2007    -0.00405
 KO       23JUL2004    -0.08633
 KO       24AUG2011    -0.01257
 KO       24JAN2002     0.00843
 KO       24JAN2006     0.01599
 KO       25APR2002    -0.00450
 KO       25NOV2013     0.00157
 KO       25SEP2002    -0.01639
 KO       25SEP2003    -0.01198
 KO       26FEB2004     0.01096
 KO       26FEB2007     0.00948
 KO       26SEP2008     0.00747
 KO       27JUL2012     0.01747
 KO       27MAY2004     0.02196
 KO       28SEP2009    -0.00674
 KO       29MAR2004     0.02145
 KO       30MAY2007     0.00806
 KO       31OCT2005    -0.00759
 SAFM     01JUN2005     0.02460
 SAFM     01MAR2006     0.00061
 SAFM     10JUL2006    -0.00868
 SAFM     10MAY2010     0.02930
 SAFM     11JUN2010     0.00372
 SAFM     11NOV2010    -0.00070
 SAFM     14SEP2006     0.05944
 SAFM     21SEP2010    -0.00940
 SAFM     26JUL2010    -0.06555
 ED       01DEC2009     0.01078
 ED       02JUN2008    -0.01530
 ED       02OCT2012    -0.00468
